case_id,canonical_oracle,max_budget_oracle,gain,s10_a0,s10_a6,s10_a11,s10_a15,s10_a23,s10_a39,s15_a0,s15_a6,s15_a11,s15_a15,s15_a23,s15_a39,s20_a0,s20_a6,s20_a11,s20_a15,s20_a23,s20_a39,s25_a0,s25_a6,s25_a11,s25_a15,s25_a23,s25_a39,s30_a0,s30_a6,s30_a11,s30_a15,s30_a23,s30_a39
TCGA_DU_5854_19951104_27,0.8957708957708957,0.8987800857237059,0.0030091899528101873,0.8957708957708957,0.8957708957708957,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8957708957708957,0.8957708957708957,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8957708957708957,0.8957708957708957,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8957708957708957,0.8957708957708957,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8957708957708957,0.8957708957708957,0.8987800857237059,0.8987800857237059,0.8987800857237059,0.8987800857237059
TCGA_DU_5855_19951217_17,0.9579551382368284,0.9584158415841584,0.00046070334732994933,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9579551382368284,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584,0.9584158415841584
TCGA_DU_5871_19941206_23,0.9622093023255814,0.9623757954672323,0.0001664931416508475,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9622093023255814,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323,0.9623757954672323
TCGA_DU_5872_19950223_39,0.8199620972836387,0.8199620972836387,0.0,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387,0.8199620972836387
TCGA_DU_5874_19950510_24,0.8932617769827073,0.8932617769827073,0.0,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073,0.8932617769827073
TCGA_DU_6399_19830416_23,0.9697885196374623,0.9697885196374623,0.0,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623,0.9697885196374623
TCGA_DU_6400_19830518_22,0.9621828626136908,0.9621949274206413,1.206480695048473e-05,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621828626136908,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413,0.9621949274206413
TCGA_DU_6401_19831001_30,0.9787886993410958,0.9793425543380636,0.0005538549969678064,0.9787886993410958,0.9789389496134364,0.9789389496134364,0.9789389496134364,0.9789389496134364,0.9789389496134364,0.9787886993410958,0.9789389496134364,0.9789389496134364,0.9789389496134364,0.9789389496134364,0.9789389496134364,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636,0.9793425543380636
TCGA_DU_6404_19850629_35,0.9526813880126183,0.9527806925498427,9.930453722439836e-05,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9526813880126183,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427,0.9527806925498427
TCGA_DU_6405_19851005_46,0.0,0.8834586466165414,0.8834586466165414,0.0,0.42240726722180166,0.7739686228936665,0.7739686228936665,0.7739686228936665,0.7739686228936665,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.8834586466165414
