case_id,gate_opened,dice,jaccard,sensitivity,precision,specificity,boundary_f1_at_2_px,assd_px,hd95_px,lesion_recall_at_iou_0_10,lesion_precision_at_iou_0_10,lesion_f1_at_iou_0_10,true_positive_pixels,false_positive_pixels,false_negative_pixels
TCGA_DU_A5TT_19980318_49,1,0.9217900460058553,0.8549262994569433,0.9099917423616846,0.9338983050847458,0.9987874076952973,0.8945741133676871,0.9988090752855063,3.4282418293457426,1.0,1.0,1.0,1102,78,109
TCGA_DU_A5TU_19980312_16,0,0.872237339881861,0.7734227871939736,0.9403262736119061,0.813343235548954,0.974243355878937,0.5492794341706154,4.489662192088528,17.323148310114334,1.0,1.0,1.0,6571,1508,417
TCGA_DU_A5TW_19980228_23,0,0.9411097242709634,0.8887698242606087,0.932119577433131,0.9502749770852429,0.9964476893610752,0.8379331883992225,1.5742209124881628,7.548640462547215,1.0,1.0,1.0,4147,217,302
TCGA_DU_A5TY_19970709_25,0,0.34737009375496586,0.2101923076923077,0.9820305480682839,0.211003861003861,0.9365599242506558,0.260396745040687,26.74977619593823,87.98123597652138,0.5,1.0,0.6666666666666666,1093,4087,20
TCGA_EZ_7264_20010816_19,0,0.9511084117825691,0.9067747539085119,0.9678615574783683,0.9349253731343283,0.9982946900716543,0.933045542844809,0.7660426521109132,3.0,1.0,1.0,1.0,1566,109,52
TCGA_FG_5962_20000626_28,0,0.9584522676815731,0.9202192448233861,0.9701444622792937,0.947038545910373,0.9972925778183624,0.9167800690882445,0.8461509204659833,2.8284271247461903,1.0,1.0,1.0,3022,169,93
TCGA_FG_5964_20010511_14,0,0.9596832253419726,0.9224913494809689,0.9603746397694525,0.9589928057553957,0.9991114298185446,0.9540063739746782,0.7057317496296405,2.8284271247461903,1.0,1.0,1.0,1333,57,55
TCGA_FG_6688_20020215_27,0,0.9141685882654369,0.8419065596979708,0.864760058167717,0.9695652173913043,0.9991177350999637,0.8051558961853336,1.332824790254216,3.605551275463989,1.0,1.0,1.0,1784,56,279
TCGA_FG_6689_20020326_30,0,0.9591674925668979,0.921538754522948,0.9815415821501015,0.9377906976744186,0.9947034947034947,0.8161855024685586,1.3982161839117868,7.38080885425552,0.5,1.0,0.6666666666666666,4839,321,91
TCGA_FG_6690_20020226_32,0,0.9536363636363636,0.9113814074717637,0.9553734061930783,0.9519056261343013,0.9991775039572923,0.9867890887138666,0.5357149708104438,1.4142135623730951,1.0,1.0,1.0,1049,53,49
